analysis,grouping_or_change,trace_blocks,exposure_difference_pp,exposure_95ci,coverage_difference_pp,coverage_95ci,transition_rate_ratio,transition_ratio_95ci,median_delay_difference_s,proposed_friction_pct,friction_one_sided_95_upper_pct,evidence_status,limitation
Primary logistic score,15-min trace blocks,56,-4.481671,"[-5.09, -3.89] pp",-2.792553,"[-3.96, -1.69] pp",0.426063,"[0.404, 0.452]",0.000000,0.821378,1.069427,4/4 predeclared gates pass; friction UCB crosses 1%,"point friction is below 1%, but its one-sided 95% upper bound is above 1%; descriptive mean capped delay worsens"
Numeric-RNTI stratum,Seen numeric RNTI (470 values),56,-4.693354,"[-5.61, -3.76] pp",-3.318584,"[-4.76, -1.86] pp",0.413838,"[0.388, 0.443]",0.000000,0.558580,0.795474,4/4 pairwise gates pass; friction point within 1% and UCB within 1%,"descriptive numeric-RNTI occurrence stratum, not durable identity"
Numeric-RNTI stratum,Unseen numeric RNTI (274 values),56,-4.175899,"[-4.99, -3.34] pp",-2.000000,"[-3.63, -0.65] pp",0.445962,"[0.414, 0.483]",0.000000,1.288660,1.727084,4/4 pairwise gates pass; friction point above 1% and UCB above 1%,"descriptive numeric-RNTI occurrence stratum, not durable identity"
Coarser resampling,1-h trace groups,14,-4.481671,"[-5.27, -3.77] pp",-2.792553,"[-4.00, -1.65] pp",0.426063,"[0.397, 0.468]",0.000000,0.821378,1.261570,4/4 predeclared gates pass,only 14 resampling groups; friction upper bound remains above 1%
HGB score / constrained selection,5-s EWMA selected; 15-min trace blocks,56,-4.598463,"[-5.46, -3.78] pp",-2.925532,"[-4.52, -1.50] pp",0.245165,"[0.221, 0.268]",0.000000,1.185681,1.890462,4/4 controller gates pass; friction exceeds 1%,strict tune-only selection changes controller family under HGB; held-out friction is 1.186% with one-sided UCB 1.890%
HGB asymmetric-family diagnostic,15-min trace blocks,56,-2.970349,"[-3.71, -2.11] pp",-4.122340,"[-5.93, -2.57] pp",0.430400,"[0.402, 0.462]",0.000000,0.846269,1.065066,strict coverage gate failed,one-sided coverage lower bound is below the -5 pp noninferiority margin
Episode-definition sensitivity,Strict zero-gap episodes,,-4.481671,point only,-3.954279,point only,,actions unchanged,0.000000,,,descriptive; no action replay or refit,episode count changes to 6474; coverage is definition-sensitive
Episode-definition sensitivity,Exclude mixed-attack epochs,,-4.470949,point only,-2.792553,point only,,actions unchanged,0.000000,,,descriptive; no action replay or refit,episode count changes to 752; coverage is definition-sensitive
Alternative timestamp scaling,raw timestamp / 1e6,,,not run,,not run,,not run,,,,no feasible proposed policy at 1%,no held-out controller replay; 1% tuning stateless exposure was 41.95%
Lease-timeout sensitivity,5--300 s label-blind leases,,-4.301428,"range [-4.51, -3.85] pp",,episode definition changes,0.427632,"range [0.426, 0.431]",0.000000,,,descriptive direction stable,locked thresholds; episode counts vary with lease construction
